lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1573,Krzysztof Penderecki,Penderecki,Penderecki / Greenwood,Krzysztof Penderecki / Marek Mos,Aukso Orchestra,,Threnody for the Vicims of Hiroshima / Popcorn Superhet Receiver / Polymorphia / 48 Responses to Polymorphia,,2012,Nonesuch,,,klasyka,classics,CD
1574,Giovanni Battista Pergolesi,Pergolesi,Giovanni Battista Pergolesi,Christophe Rousset,Les Talens Lyriques,"Andreas Scholl, Barbara Bonney",Stabat Mater,,1999,Decca,,KOPIA,klasyka,classics,CD
1575,Giovanni Battista Pergolesi,Pergolesi,Giovanni Battista Pergolesi,Robert King,The King's Consort,"Gillian Fisher, Michael Chance",Stabat Mater,1987,1988,Hyperion Records,,rolf,klasyka,classics,CD
1576,Astor Piazolla,Piazolla,Astor Piazolla,,,"Emmanuel Ax, Pablo Ziegler",the tangos,1996,1996,SONY,,rolf,klasyka,classics,CD
1577,Zbigniew Preisner,Preisner,Zbigniew Preisner,Jacek Kasprzyk,Sinfonia Varsovia,Elżbieta Towarnicka,Requiem for my Friend,,1998,Erato Disques,,rolf,klasyka,classics,CD
1578,Zbigniew Preisner,Preisner,Zbigniew Preisner,,,Leszek Możdżer,10 łatwych utworów na fortepian,,1999,Pomaton EMI,,rolf,klasyka,classics,CD
1579,Sergei Prokofiev,Prokofiev,Prokofiev / Bartok,George Szell,Cleveland Orchestra,,Symphony no. 5 / Concerto for Orchestra,,1999,SONY,,,klasyka,classics,CD
1580,Sergei Prokofiev,Prokofiev,Sergei Prokofiev,Piero Coppola,London Symphony Orchestra,Sergei Prokofiev,"Piano Concerto 3, Visions Fugitives...",1932.35,2001,NAXOS,,,klasyka,classics,CD
1581,Giacomo Puccini,Puccini,Giacomo Puccini,James Levine,"Philharmonia Orchestra, Ambrosian Opera Chorus","Scotto, Domingo, Bruson",Tosca,1981,1997,EMI,1,,klasyka,classics,CD
1582,Giacomo Puccini,Puccini,Giacomo Puccini,James Levine,"Philharmonia Orchestra, Ambrosian Opera Chorus","Scotto, Domingo, Bruson",Tosca,1981,1997,EMI,2,,klasyka,classics,CD
1583,Giacomo Puccini,Puccini,Giacomo Puccini,Victor de Sabata,Coro & Orchestra del Teatro alla Scala di Milano,"Callas, di Stefano, Gobbi",Tosca,,2009,EMI,1,,klasyka,classics,CD
1584,Giacomo Puccini,Puccini,Giacomo Puccini,Victor de Sabata,Coro & Orchestra del Teatro alla Scala di Milano,"Callas, di Stefano, Gobbi",Tosca,,2009,EMI,2,,klasyka,classics,CD
1585,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,Kurt Sanderling,Leningrader Philharmonie,,"Symphonie Nr. 2 e-moll, op.27",1956,,DG,,,klasyka,classics,CD
1586,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,Kurt Sanderling,USSR RTV Large Symphony Orchestra,Sviatoslav Richter,Piano Concertos Nos.1 in F-sharp Minor op.1 & 2 in C Minor op.18 (Sviatoslav Richter Edition),1962.59,1995,BMG (Melodiya),,,klasyka,classics,CD
1587,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,Leonard Bernstein / Seji Ozawa,New York Philharmonic,Philippe Entremont / Andre Watts,"Piano Concertos Nos. 2 in C minor Op.18, 3 in D minor Op.30",,1994,SONY,,rolf,klasyka,classics,CD
1588,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,Antal Dorati,London Symphony Orchestra / Minneapolis Symphony Orchestra,Byron Janis,"Piano Concertos Nos. 3 in D minor Op.31, 2 in C minor Op.18",1961.6,1991,Philips,,rolf,klasyka,classics,CD
1589,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,,,Beaux Arts Trio,The “Elegiac” Piano Trios,1986,,Philips,,,klasyka,classics,CD
1590,Sergei Rachmaninoff,Rachmaninoff,Sergei Rachmaninoff,,,"Vladimir Ashkenazy, Andre Previn",Music for two pianos,,1995,Decca,,rolf,klasyka,classics,CD
1591,Maurice Ravel,Ravel,Ravel / Debussy,,,"Vladimir Ashkenazy, Itzhak Perlman, Lynn Harell","Trio / Sonatas: for violin & piano, for cello & piano",,1995,Decca,,,klasyka,classics,CD
1592,Maurice Ravel,Ravel,Ravel / Musorgski,Herbert von Karajan,Berliner Philharmoniker,,Bolero/Obrazki z wystawy,,,Selles,,,klasyka,classics,CD
1593,Maurice Ravel,Ravel,Maurice Ravel,,,Samson Francois,różne,1967,1985,EMI,1,rolf,klasyka,classics,CD
1594,Maurice Ravel,Ravel,Maurice Ravel,,,Samson Francois,różne,1967,1985,EMI,2,rolf,klasyka,classics,CD
1595,Sviatoslav Richter,Richter,various,,,Sviatoslav Richter,The Poet,,1996,Philips,,,klasyka,classics,CD
1596,Sviatoslav Richter,Richter,various,,,Sviatoslav Richter,The Philosopher,,1996,Philips,,,klasyka,classics,CD
1597,Nikołaj Rimsky-Korsakov,Rimsky-Korsakov,Rimsky-Korsakov / Czajkowski,Herbert von Karajan,Berliner Philharmoniker,,"Szecherezada op.35 / Capriccio italien op.45, Ouverture solenne “1812” op.49",1967,,DG,,,klasyka,classics,CD
1598,Nikołaj Rimsky-Korsakov,Rimsky-Korsakov,Rimsky-Korsakov / Stravinsky,Pierre Monteux,London Symphony Orchestra / Orchestre de la Societe des Concerts du Conservatoire,,"Scheherezade op.35 / L'Oiseau de Feu, Suite (1919)",1959,1999,Decca,,rolf,klasyka,classics,CD
1599,Gioacchino Rossini,Rossini,Gioacchino Rossini,Piero Bellugi,"Chor der Staatsoper Berlin, Randfunk-sinfonieorchester Berlin","Casoni, Benelli, Bruscantini, Mariotti",La Cenerentola (Cindrella),1987,,Acanta,1,,klasyka,classics,CD
1600,Gioacchino Rossini,Rossini,Gioacchino Rossini,Piero Bellugi,"Chor der Staatsoper Berlin, Randfunk-sinfonieorchester Berlin","Casoni, Benelli, Bruscantini, Mariotti",La Cenerentola (Cindrella),1987,,Acanta,2,,klasyka,classics,CD
1601,Gioacchino Rossini,Rossini,Gioacchino Rossini,Gabrielle Ferro,Chorus and Orchestra of the Welsh National Opera,Samuel Ramey,Arias,,1991,Teldec,,rolf,klasyka,classics,CD
1602,Gioacchino Rossini,Rossini,Rossini / Donizetti,,,I Solisti Italiani,6 Sonatas for Strings / String Quartets 3&5,,1987,Nippon,1,rolf,klasyka,classics,CD
