lp,kto,ord,kompozytor,dyrygent,orkiestra,soliści,co,data nagrania,data wydania,wytwórnia,część,uwagi,typ,genre,medium
1672,,Tradition,Tradition,,,,Jewish Songs From Russia,,1995,KOCH,,,klasyka,classics,CD
1673,Giuseppe Verdi,Verdi,Giuseppe Verdi,Herbert von Karajan,"Wiener Singverein, Berliner Philharmoniker",,Requiem,1972,,Deutsche Grammophon,1,,klasyka,classics,CD
1674,Giuseppe Verdi,Verdi,Giuseppe Verdi,Herbert von Karajan,"Wiener Singverein, Berliner Philharmoniker",,Requiem + Bruckner – Te Deum,1972.76,,Deutsche Grammophon,2,,klasyka,classics,CD
1675,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,Philharmonia Chorus & Orchestra,"Schwarzkopf, Ludwig / Janet Baker",Requiem / Quattro Pezzi Sacri,1964,1997,EMI,1,,klasyka,classics,CD
1676,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,Philharmonia Chorus & Orchestra,"Schwarzkopf, Ludwig / Janet Baker",Requiem / Quattro Pezzi Sacri,1964,1997,EMI,2,,klasyka,classics,CD
1677,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,,Maria Callas,La Traviata,1955,1997,EMI,1,,klasyka,classics,CD
1678,Giuseppe Verdi,Verdi,Giuseppe Verdi,Carlo Maria Giulini,,Maria Callas,La Traviata,1955,1997,EMI,2,,klasyka,classics,CD
1679,Giuseppe Verdi,Verdi,Giuseppe Verdi,Riccardo Muti,Orchestro e Coro Del Teatro Alla Scala,,Rigoletto ,1988,1989,EMI,1,KOPIA,klasyka,classics,CD
1680,Giuseppe Verdi,Verdi,Giuseppe Verdi,Riccardo Muti,Orchestro e Coro Del Teatro Alla Scala,,Rigoletto ,1988,1989,EMI,2,KOPIA,klasyka,classics,CD
1681,Giuseppe Verdi,Verdi,Giuseppe Verdi,Oliviero de Fabritiis,"Orchestra and Chorus of the Palacio de las Bellas Artes, Mexico City",Maria Callas,Aida,1951,,Membran Music,1,,klasyka,classics,CD
1682,Giuseppe Verdi,Verdi,Giuseppe Verdi,Oliviero de Fabritiis,"Orchestra and Chorus of the Palacio de las Bellas Artes, Mexico City",Maria Callas,Aida,1951,,Membran Music,2,,klasyka,classics,CD
1683,Giuseppe Verdi,Verdi,Giuseppe Verdi,Herbert von Karajan,Philharmonia Orchestra & Chorus,,Falstaff,1957,1999,EMI,1,,klasyka,classics,CD
